Users,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
64,39,Female,41.3,1.76,175,136,69,1.42,1096,Yoga,24.3,3.2,3,Intermediate  ,15.36
65,41,Male,40,1.77,176,148,65,1.03,1238,Yoga,11.6,1.9,5,Beginner,22.98
66,41,Female,63.7,1.93,195,155,61,1.18,1064,HIIT,21.2,3.4,4,Beginner,15.76
67,20,Male,45,1.68,171,154,74,1.5,1692,Yoga,10,2.4,4,Beginner,12.32
68,26,Male,47.1,1.61,189,138,52,1.26,1095,Yoga,19.3,3.6,3,Expert   ,29.91
69,37,Female,72.1,1.83,164,152,58,1.58,1091,Cardio,34.4,3.3,4,Intermediate  ,16.92
70,59,Male,57.5,1.81,175,169,58,1.47,1349,Cardio,24.7,2.5,5,Intermediate  ,12.32
71,22,Male,54.3,1.85,165,144,53,2,1740,Cardio,26.6,3.7,4,Intermediate  ,20.04
72,25,Male,63.9,1.67,178,144,61,1.56,868,Strength,24.8,2.4,3,Intermediate  ,24.51
73,32,Male,56.6,2,190,123,65,1.25,1309,HIIT,14.7,3.5,4,Expert   ,17.83
74,29,Female,95.3,1.72,190,169,74,1.49,733,HIIT,29.2,3.7,5,Expert   ,20.06
75,30,Female,96.3,2,173,136,74,2,1095,HIIT,20.4,1.5,5,Intermediate  ,25.83
76,28,Male,84.4,1.74,\t182,142,52,1.45,1392,Strength,22,2.6,2,Beginner,34.01
77,33,Male,60.5,1.54,195,126,56,1.27,1237,Cardio,29.1,3.7,4,Intermediate  ,21.23
78,49,Male,45,1.84,190,159,53,1.3,864,HIIT,26.5,1.5,4,Intermediate  ,17.11
79,53,Male,87.7,1.84,164,152,53,1.37,1066,Cardio,24.7,2.6,5,Intermediate  ,25.16
80,54,Female,46.1,1.85,187,162,63,1.35,772,Strength,25.7,3.6,4,Beginner,20.62
81,18,Female,69.8,1.82,178,168,58,1.9,963,HIIT,31.4,3.7,5,Intermediate  ,34.21
82,18,Male,79.2,1.77,198,137,66,1.2,1429,Yoga,12.9,3.7,3,Intermediate  ,19.07
83,22,Female,53.3,1.73,172,144,71,1.1,1235,Strength,22.8,2.6,3,Beginner,13.13
84,20,Male,95.7,1.85,196,136,58,1.44,987,HIIT,23.8,1.5,3,Intermediate  ,15.47
85,47,Male,87.3,1.9,194,164,74,1.87,1073,HIIT,23.7,3.5,5,Intermediate  ,20.1
86,18,Male,79.2,1.66,176,154,72,1.58,1493,Strength,18.1,2.3,3,Beginner,14.27
87,18,Male,73.8,1.75,187,149,74,1.64,1065,HIIT,17.7,2.4,3,Beginner,17.79
88,27,Male,72.8,1.82,162,136,57,1.23,780,HIIT,11.4,3.5,4,Expert   ,22.59
89,38,Male,50,1.75,186,135,59,2,695,Strength,23.4,1.6,4,Beginner,49.84
90,29,Female,93.5,1.85,166,167,74,1.01,670,Cardio,23.2,2.6,3,Beginner,19.83
91,54,Male,84,1.94,178,133,53,1.47,942,Yoga,30.7,1.5,4,Beginner,16.61
92,37,Female,55.3,1.73,183,134,51,1.1,976,Yoga,31.3,2.8,2,Intermediate  ,16.26
93,21,Male,66.6,1.85,189,121,56,0.88,993,HIIT,13.9,3.4,5,Beginner,12.32
94,26,Female,59.8,1.6,180,151,58,1.2,611,HIIT,16.4,2.5,3,Expert   ,12.63
95,42,Female,80.3,1.94,192,169,52,1.72,753,Yoga,24.6,3.5,5,Intermediate  ,33.99
96,31,Female,129.9,1.7,190,169,69,1.38,735,Strength,10,2.1,3,Expert   ,16.07
97,50,Female,40,1.75,162,169,55,2,1449,Yoga,31.7,3.5,4,Expert   ,28.18
98,18,Male,64.8,1.82,169,156,69,1.93,1516,Strength,21.9,3.5,3,Intermediate  ,17.69
99,54,Male,60.1,1.63,174,159,72,0.52,893,Cardio,18.4,3.6,4,Beginner,20.56
100,37,Male,46.3,1.69,181,141,67,1.64,1445,Strength,20.7,2.5,4,Intermediate  ,19.11
101,21,Male,66.9,1.69,197,149,74,1.37,872,Yoga,16.6,2.6,5,Intermediate  ,33.07
102,19,Female,40,1.93,167,158,74,1.19,1265,Yoga,24.7,2.6,4,Expert   ,12.32
103,36,Female,50.1,1.85,199,140,68,0.91,1243,Strength,30.7,2.8,4,Intermediate  ,25.82
104,23,Male,71.3,1.77,171,134,50,1.34,1239,Cardio,35,2.5,3,Expert   ,18.17
105,39,Female,66.8,1.61,177,127,59,1.64,770,Yoga,28,3.1,4,Beginner,17.16
106,45,Male,53.9,1.68,169,141,71,1.59,1031,Yoga,19.2,2.1,3,Expert   ,20.62
107,33,Female,97.1,1.86,166,127,72,1.39,1783,HIIT,11,1.5,4,Beginner,16.27
108,27,Female,40,1.57,178,169,52,1.32,949,Strength,28.4,3.1,3,Intermediate  ,21.11
109,37,Male,62.1,1.85,196,151,64,1.28,943,HIIT,26.7,3.3,4,Beginner,20.37
110,28,Male,60.7,1.73,198,124,70,1.34,1212,Cardio,24.8,2,2,Beginner,20.21
111,18,Male,46.9,1.84,185,147,65,1.29,1040,HIIT,21.8,1.7,3,Beginner,13
112,18,Female,90.8,1.66,182,134,56,1.77,990,Yoga,10,1.8,4,Intermediate  ,22.03
113,24,Female,44,1.79,193,164,62,1.84,622,Strength,26.3,3.5,4,Intermediate  ,14.27
114,23,Female,58.2,1.85,196,130,57,1.36,582,HIIT,25.7,1.5,4,Beginner,35.08
115,43,Male,74.2,1.76,188,141,68,0.98,1426,Cardio,21.2,3.1,2,Expert   ,20.52
116,18,Male,56.1,2,180,120,57,1.04,1461,HIIT,27.4,2,5,Intermediate  ,12.32
117,45,Female,42.1,1.86,194,129,74,0.91,1176,Strength,22.1,3.6,5,Beginner,33
118,18,Male,40,1.73,168,121,73,0.64,1153,HIIT,29.9,3.1,2,Expert   ,18.62
119,28,Female,107.7,1.99,188,129,55,2,1127,Yoga,10,2,2,Beginner,17.86
120,18,Female,40,1.8,196,120,70,2,979,Cardio,10,2.6,4,Beginner,20.06
121,57,Female,70,1.81,167,154,53,1.3,1149,Yoga,26.6,1.5,3,Expert   ,12.32
122,55,Female,63.2,1.59,161,168,69,1.49,1094,Yoga,19,3.6,3,Intermediate  ,17.45
123,50,Male,69.6,1.71,167,169,57,0.98,470,Yoga,27.2,2.7,2,Intermediate  ,20.42
124,32,Male,57,1.76,170,160,71,1.82,904,Strength,30.9,3.3,4,Expert   ,16.01
125,20,Female,75.8,1.87,160,163,63,2,988,HIIT,23.5,2.7,4,Expert   ,12.32
126,18,Male,54.7,1.6,167,156,57,1.63,1134,Yoga,22.7,3.4,4,Intermediate  ,15.86
127,30,Male,62.2,1.69,164,134,67,1.24,1783,Cardio,30.3,3.2,3,Intermediate  ,25.59
128,18,Male,97.5,2,169,159,68,1.17,782,Strength,24.8,1.8,2,Beginner,42.88
129,31,Female,51,1.56,193,140,64,1.41,1347,Cardio,28.6,3.5,2,Intermediate  ,25.42
130,31,Female,71,1.81,199,158,68,1.87,1228,Strength,29.6,2.7,2,Intermediate  ,14.52
131,28,Female,70,1.74,198,169,69,2,1468,Cardio,28.4,2.8,4,Intermediate  ,21.91
132,52,Female,73.5,1.78,181,162,67,2,1325,Yoga,21.1,2.3,3,Expert   ,18.08
133,18,Male,94.7,1.52,161,141,66,1.4,1446,Yoga,16.7,2.6,3,Intermediate  ,22.4
134,47,Male,40,1.89,177,139,69,1.3,902,HIIT,26.7,3.3,3,Expert   ,26.2
135,22,Female,60.1,1.71,198,161,70,1.04,533,HIIT,10.3,3.4,5,Beginner,26.74
136,48,Male,55.5,1.5,183,133,51,0.73,830,Cardio,27.3,2.2,3,Expert   ,32.42
137,23,Female,95.6,1.5,196,152,56,0.5,639,Yoga,25.2,3.2,2,Beginner,13.38
138,43,Male,102.5,1.79,190,138,69,1.54,844,Cardio,19.7,3.7,4,Intermediate  ,17.07
139,50,Male,56.6,1.96,196,169,74,2,1299,Strength,24.8,1.6,3,Intermediate  ,20.69
140,30,Male,40,1.67,176,120,55,1.39,1710,Cardio,18.2,2.7,3,Beginner,12.32
141,25,Female,74.9,1.66,192,138,58,1.73,1766,HIIT,28.7,2.3,5,Beginner,15.98
142,19,Female,82.8,1.79,192,127,74,1.18,1140,Cardio,10,2.4,4,Expert   ,21.95
143,41,Female,73.3,1.71,196,158,56,1.36,1234,Strength,30.1,3.2,4,Expert   ,25.83
144,53,Male,55.3,1.98,177,169,51,0.83,1273,Strength,14.7,2.1,2,Intermediate  ,20.9
145,35,Male,95.9,1.69,175,129,58,1.22,1674,Cardio,27.5,2.1,3,Expert   ,24.01
146,33,Male,89.6,1.62,175,137,56,1.09,906,Cardio,23.9,1.6,3,Beginner,25.68
147,21,Male,86.3,1.86,167,143,73,1.26,1783,Cardio,27.1,3.1,3,Intermediate  ,12.93
148,33,Male,42.7,1.82,196,145,68,1.24,1436,Yoga,26.3,3.7,4,Beginner,42.84
149,33,Female,103.3,1.72,180,162,58,0.66,1104,Yoga,22.6,3.2,2,Beginner,12.42
150,33,Male,76.8,1.72,193,126,69,1.26,790,HIIT,31.8,3.3,4,Beginner,25.47
151,23,Female,69.1,1.63,198,138,57,2,1549,Yoga,21.4,3.3,2,Beginner,31.27
152,30,Male,75.6,1.82,196,138,74,1.31,925,Cardio,32.4,3.3,3,Expert   ,15.35
153,18,Female,42,1.74,197,120,57,2,1236,Cardio,26.6,1.5,3,Intermediate  ,19.62
154,56,Male,62.9,1.5,194,153,74,1.85,991,Yoga,23.2,2.4,3,Intermediate  ,32.25
155,22,Female,53.5,1.76,194,137,66,2,1395,Strength,13.1,2.3,5,Intermediate  ,17.16
156,21,Female,90.7,1.75,190,135,54,1.03,1155,Cardio,28,2.3,3,Intermediate  ,12.66
157,21,Male,74.7,1.59,161,169,74,1.08,1379,Yoga,15.2,2.5,3,Intermediate  ,21.53
158,50,Male,82.6,1.71,164,160,63,1.33,1011,Yoga,22.4,3.6,5,Intermediate  ,12.32
159,27,Male,40,1.76,183,125,60,1.04,1783,Yoga,21.9,3.3,4,Intermediate  ,12.32
160,27,Female,70.1,1.58,169,156,63,0.82,797,Cardio,28.1,3.4,3,Beginner,24.04
161,29,Female,40.2,1.7,184,152,70,1.82,744,Strength,13.2,2.6,3,Intermediate  ,18.63
162,19,Female,76.4,1.79,189,132,57,1.41,1414,HIIT,33.3,3.5,3,Intermediate  ,14.21
163,39,Male,78.5,1.59,197,153,71,1.88,1009,Yoga,26,3.7,5,Beginner,16.24
164,20,Female,82.6,1.6,174,149,63,2,775,HIIT,22.9,3.3,2,Intermediate  ,15.06
165,34,Male,91.2,1.5,193,165,61,1.13,905,Strength,24,3.4,4,Beginner,24.8
166,23,Male,46.7,1.65,164,159,68,1.81,1563,Yoga,15.8,2.5,4,Intermediate  ,19.8
167,28,Female,74.2,1.5,191,129,72,1.77,848,Strength,17.3,1.5,3,Intermediate  ,24.11
168,18,Female,64,1.51,176,129,74,1.18,992,Strength,26.7,3.4,5,Expert   ,14.98
169,32,Male,52.8,1.61,169,169,70,0.88,1375,Strength,24.2,2.7,5,Beginner,18.1
170,47,Male,40,1.73,170,160,66,1.27,1249,Cardio,22.8,3.6,2,Beginner,26.91
171,39,Male,70.7,1.58,189,163,66,1.69,1146,Yoga,21.9,3.2,3,Beginner,21.17
172,41,Male,77,1.5,190,146,56,1.3,1067,Strength,27.5,3.3,4,Intermediate  ,26.26
173,23,Male,117.8,1.88,168,167,55,1.35,1259,Strength,32.3,1.6,3,Intermediate  ,14.24
174,50,Female,57.3,1.72,197,133,56,2,950,Yoga,11.1,3.2,2,Expert   ,22.6
175,22,Female,103.1,1.72,168,166,59,1.07,978,HIIT,23.1,1.9,2,Intermediate  ,16.79
176,29,Female,77.4,1.69,179,132,74,1.11,712,Yoga,27,3.5,2,Expert   ,16.23
177,18,Male,84.1,1.78,194,145,64,2,686,Cardio,30.3,3.3,3,Expert   ,14.46
178,29,Male,40,1.86,180,169,63,1.26,986,Yoga,25.3,1.5,3,Beginner,19.92
179,42,Male,66,1.6,196,159,52,1.93,1042,Strength,16.4,3.5,4,Intermediate  ,17.81
180,51,Female,84.6,1.77,197,141,55,1.44,543,HIIT,23.4,2.9,5,Expert   ,24.89
181,51,Male,100.7,1.75,185,138,73,1.5,703,Strength,25.5,1.8,4,Expert   ,15.9
182,22,Male,58.6,2,165,169,57,2,1402,Strength,30,3.5,4,Intermediate  ,20.99
183,21,Female,57.4,1.74,179,161,73,2,457,HIIT,27.7,2.5,3,Beginner,24.67
184,26,Female,42.2,1.91,174,127,72,1.65,455,Strength,23.6,2.9,3,Intermediate  ,24.27
185,18,Male,66.6,1.62,192,156,58,1.3,1250,Cardio,21.3,3.2,5,Beginner,12.58
186,37,Female,94.4,1.7,193,127,70,1.27,1183,HIIT,16.4,3.4,4,Beginner,19.3
187,45,Male,111.9,1.73,177,129,54,0.92,1267,Strength,18.3,2.6,4,Beginner,12.32
188,51,Male,61.1,1.82,165,163,57,1.19,1171,Yoga,31.7,2.5,4,Expert   ,45.75
189,18,Female,96,1.82,198,144,58,1.19,323,Yoga,23.8,1.8,3,Beginner,12.32
190,27,Female,89.7,1.67,172,130,64,1.46,729,Yoga,27.7,3.4,4,Intermediate  ,17.56
191,34,Female,61,1.69,190,159,63,0.99,1040,Cardio,23.6,3.6,5,Expert   ,18.07
192,31,Female,75.6,1.57,163,152,71,0.96,668,Yoga,25.8,2.3,4,Beginner,26.35
193,19,Female,90.6,1.85,187,131,68,1.67,607,HIIT,27.5,3.3,2,Intermediate  ,19.15
194,47,Female,90.8,1.67,186,120,74,1.43,506,Strength,32,2.7,3,Expert   ,18.39
195,19,Female,40,1.77,179,139,74,1.22,1173,Yoga,27.7,1.6,3,Expert   ,19.2
196,27,Male,112.6,1.79,174,167,60,0.69,1282,Strength,28.6,1.5,2,Beginner,22.96
197,46,Male,108.9,1.86,162,165,74,1.42,936,Strength,22.2,1.9,4,Intermediate  ,27.29
198,26,Male,43.2,1.8,185,149,52,1.87,1019,Cardio,23.5,2.1,4,Intermediate  ,27.59
199,18,Female,61.1,1.74,191,159,69,1.36,1311,HIIT,15.6,3.4,2,Intermediate  ,16.61
200,38,Male,85.5,1.77,175,156,50,1.13,766,HIIT,14.6,3.4,2,Beginner,16.38
201,18,Female,50.1,1.8,174,125,50,1.38,1185,HIIT,30.8,3.4,3,Intermediate  ,29.04
202,45,Male,129.9,1.75,197,154,73,1.97,757,Cardio,23.5,2.4,5,Beginner,36.13
203,47,Female,93.3,1.73,184,123,62,1.45,998,Yoga,15.1,1.7,4,Intermediate  ,12.32
204,45,Female,73.7,1.7,190,167,67,1.11,1100,Yoga,29.1,1.8,2,Beginner,15.88
205,18,Male,86.1,2,180,158,72,1.27,1173,HIIT,19.7,3.5,2,Expert   ,13.06
206,18,Female,40,1.77,189,137,74,0.6,829,Cardio,24.7,2.6,4,Beginner,16.35
207,43,Male,56.4,1.8,174,161,74,1.03,327,Strength,10,3.2,3,Beginner,21.21
208,45,Female,60.7,1.63,170,139,74,1.18,1356,Cardio,10,3.3,3,Expert   ,12.32
209,43,Female,40,1.69,187,162,66,0.9,886,Strength,28,2.2,2,Beginner,26.48
210,29,Female,84.4,1.67,184,160,74,1.28,1475,Yoga,10,2.1,5,Intermediate  ,17.62
211,18,Female,67.5,1.71,185,166,58,1.81,1162,Cardio,10.6,3.5,3,Intermediate  ,37.91
212,21,Female,62.1,1.68,173,158,71,1.23,1186,Yoga,26.4,3.5,4,Beginner,15.6
213,41,Male,83.7,1.92,161,163,59,1.37,1308,Cardio,21.4,1.5,2,Intermediate  ,17.48
214,26,Female,80.6,1.86,195,127,53,2,564,Strength,23.1,1.5,3,Intermediate  ,29.21
215,21,Male,62.3,1.91,198,141,51,1.47,1394,Yoga,22.7,1.8,3,Intermediate  ,17.4
216,49,Female,97.4,1.67,171,132,72,1.97,1091,Cardio,30.4,3.6,3,Beginner,12.32
217,19,Male,51.4,1.78,167,154,70,2,1218,Yoga,29.8,2.1,3,Intermediate  ,13.61
218,31,Male,79.1,1.74,192,167,74,0.93,1157,Cardio,18.7,1.9,2,Expert   ,13.83
219,43,Male,57.5,2,172,126,64,1.4,735,Cardio,16.9,2.1,3,Beginner,20.98
220,43,Female,70.6,1.71,193,148,54,1.28,725,Cardio,27.1,3.6,3,Beginner,22.55
221,18,Female,72.5,1.79,173,140,67,1.34,1629,Strength,27.3,2.7,5,Beginner,19.58
222,44,Female,68,1.66,182,146,68,0.82,1278,HIIT,20.7,3,5,Beginner,16.02
223,21,Female,121.6,1.78,182,151,50,1.81,1242,Yoga,21,3.5,4,Intermediate  ,16.63
224,58,Female,51.2,1.72,165,139,70,0.79,1612,Yoga,20.6,2.1,3,Expert   ,36.29
225,35,Female,60.8,1.64,161,127,74,1.57,1132,Yoga,20.7,3.7,3,Expert   ,19.54
226,26,Female,64.7,1.75,172,157,52,1.35,1193,Yoga,23.5,1.6,3,Intermediate  ,18.21
227,24,Female,58.5,1.87,183,128,74,1.36,1034,HIIT,24.8,3.3,4,Beginner,24.49
228,31,Female,49.1,1.7,162,167,63,1.1,891,Strength,23.5,2.9,3,Beginner,15.73
229,39,Female,67.8,1.59,164,158,74,1.65,1374,Strength,25.9,2.6,5,Intermediate  ,25
230,18,Male,71.5,1.69,186,124,60,1.53,763,Yoga,16.9,2.5,2,Beginner,15.8
231,50,Male,41.1,1.51,169,152,63,2,1069,Strength,24.9,1.5,4,Intermediate  ,31.59
232,28,Male,73.2,1.76,171,159,61,1.21,973,HIIT,26.4,2,4,Beginner,12.32
233,41,Female,117.7,1.67,189,123,58,2,1243,Yoga,26.2,3.2,2,Beginner,17.26
234,31,Male,63.8,1.74,199,140,55,1.5,741,HIIT,28.1,1.6,3,Intermediate  ,25.22
235,18,Male,52,1.66,199,137,74,2,1314,Cardio,26.7,3.3,3,Beginner,20.41
236,25,Female,73.3,1.5,185,169,67,1.38,433,Strength,30.6,1.5,4,Beginner,22.55
237,18,Male,50,1.83,163,140,64,1.41,969,Yoga,19,1.9,3,Intermediate  ,14.29
238,34,Male,90,1.74,194,167,57,1.36,764,Cardio,25,2.6,4,Intermediate  ,13.77
239,39,Male,109.6,1.84,199,152,74,1.27,790,HIIT,26.7,3.5,2,Intermediate  ,19.77
240,18,Male,43.5,1.77,161,136,57,2,452,Cardio,24.4,3.3,5,Beginner,21.96
241,20,Male,115.4,1.73,187,154,63,1.12,878,Yoga,30.7,3.5,3,Beginner,27.02
242,22,Male,47.4,1.91,161,164,73,2,1206,Cardio,26.6,3.5,5,Expert   ,15.36
243,18,Male,54.6,1.66,189,142,64,1.19,523,HIIT,34.7,2.6,2,Beginner,18.88
244,26,Female,71.2,2,169,159,52,1.42,749,Strength,29.8,3.5,4,Intermediate  ,27.16
245,53,Female,46.4,1.7,169,120,72,1.49,1415,Yoga,21.9,3.4,4,Intermediate  ,14.08
246,18,Female,69.9,1.78,160,143,74,2,930,HIIT,19.6,2,3,Expert   ,12.32
247,20,Male,64.9,1.69,187,128,54,0.68,1303,Cardio,10,3.3,4,Expert   ,14.87
248,43,Female,47.6,1.65,198,140,61,2,692,Cardio,22,3.5,3,Intermediate  ,22.14
249,51,Female,72.2,1.91,184,140,70,1.39,960,HIIT,21,1.5,3,Intermediate  ,17.41
250,54,Female,79.8,1.94,163,120,63,1.53,827,Yoga,25.3,3.3,4,Intermediate  ,12.32
251,23,Female,52.4,1.86,166,130,59,1.53,880,Yoga,21.6,1.5,4,Intermediate  ,12.32
252,34,Female,88.8,1.56,198,160,53,1.18,1086,Cardio,32.6,3.4,4,Intermediate  ,30.43
253,29,Female,101.5,1.9,175,165,74,1.46,1128,Yoga,26.3,2.7,2,Beginner,25.74
254,18,Male,40,1.72,195,137,52,2,1783,Cardio,18.6,1.5,4,Beginner,12.77
255,24,Male,40,2,173,126,50,1.1,1783,Cardio,31.9,1.6,3,Beginner,34.62
256,41,Female,66.2,1.83,196,126,74,1.6,993,Yoga,20.2,2.5,5,Beginner,24.37
257,30,Female,119.6,1.72,191,150,74,1.77,1006,Yoga,13.1,2.2,4,Expert   ,13.32
258,38,Male,40,1.5,172,169,59,1.52,1107,HIIT,24.9,2.8,3,Beginner,36.71
259,18,Male,82.3,1.74,198,155,55,1.38,1368,Strength,26,3.3,2,Expert   ,17.15
260,34,Male,53,1.92,199,134,68,1.12,790,Strength,19.8,3.5,4,Expert   ,16.18
261,56,Female,45.7,1.96,192,153,71,2,868,Yoga,11.4,2,4,Intermediate  ,21.34
262,18,Female,79.6,1.75,168,125,54,1.26,682,HIIT,25.1,2.4,3,Intermediate  ,12.32
263,42,Female,105.3,1.67,175,143,74,1.1,1115,Strength,25.4,3.3,3,Beginner,12.32
264,31,Male,84.5,1.56,194,124,70,1.31,734,Strength,23.6,3.3,2,Intermediate  ,21.57
265,50,Male,98.6,1.54,187,126,57,0.72,940,Strength,23.5,1.6,3,Beginner,12.32
266,27,Male,55.4,1.72,186,153,74,2,1281,Strength,10.9,2.4,4,Intermediate  ,14.56
